character	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25
SN	0.107718593273797	-0.0937303107967367	-0.533139126426719	0.173265222327895	0.0825721348683795	0.0800715312823932	-0.113806745867019	0.0164533342681651	-0.0515938696643043	0.131953500109722	-0.0606458183135016	-0.120005292069188	0.0183191138343717	-0.0413714852251869	0.0563162316283247	0.136328676031683	-0.174517883866997	0.0581318148126945	-0.0720129002866376	0.0359194872664965	-0.0180779212906397	0.331517883051997	-0.0522011533251344	0.00288953892519314	0.650897628998651
SF	-0.269008557785651	-0.0809938622941048	-0.0596739228207263	-0.46217722025406	0.0544502436488123	0.183039698754644	0.205610447203478	-0.0257756086929623	0.139751869516851	-0.0824952683774123	0.0897944437579787	-0.066061751693407	0.0404625566716298	-0.00165003723061379	0.071059253585801	0.339409058050762	-0.0988987747354836	-0.022972967367319	-0.0184935779852945	-0.0783538260283078	0.0266460717657951	-0.575354837293712	0.0518728822208219	-0.00848556789372077	0.335484799767136
ST	-0.0295654103306831	-0.129484623854611	-0.538957838813931	-0.062077154743891	0.105743888368943	0.166700159600833	-0.00748494081244638	0.00302799435343241	0.0195330339548201	0.0854786779207637	-0.0137288317387585	-0.147241672534348	0.037441787062166	-0.0403546771846172	0.0888311552931415	0.297500669036818	-0.215519755947585	0.0442438907131475	-0.0779385106686085	-0.00426804996486837	-0.00415192268823958	0.0334227324579471	-0.024338713847178	-0.00141844773171638	-0.681015584028104
SFT	-0.271455587446188	-0.0232104143960425	0.244805653425392	-0.411793360703263	-0.0140727908252724	0.130745791898048	0.173208408282177	-0.061309192871636	0.168749650698717	-0.136309873251363	0.103407435401622	-0.0180253167877883	0.0254663300822209	0.0128377017845576	0.0480918043123867	0.201560461834107	0.0286483370241318	-0.0468929357892123	-0.018781645523751	0.0541669352779325	-0.00268808678764735	0.729669526294936	-0.0661953235497869	0.0166229238519011	8.32667268468867e-16
LL	-0.0737249043829185	-0.192063293434358	-0.38372362619081	-0.232003395601888	-0.233100747750801	-0.169504027901441	-0.0457977572709352	-0.102288257075567	0.150033021098404	-0.102742964073224	0.255336975693654	0.00119034333096523	0.15185475756065	0.0426192627964961	-0.116173381348356	-0.405587134345953	0.199922862101664	0.0059913684150459	0.0510094642571313	0.046877037110733	0.0312843539907956	0.0562725835773122	0.556650838040601	0.0321128984160884	-2.4980018054066e-16
LW	-0.208965587265747	-0.219224179699558	-0.152923297140783	-0.218305082256215	-0.287256421522897	-0.32280201870018	-0.313181410099209	0.0146428257508414	0.0945130900479765	0.129227603309615	0.0570820999084397	0.158211225123995	0.04641242979625	-0.001472661269694	-0.058286291437137	-0.102368726618627	0.0635782248885468	-0.0384499613121065	0.037754299101429	0.00465142581533069	-0.0356382952407565	-0.0659560893813037	-0.684580977318921	-0.0319920054763555	1.11022302462516e-16
LLW	0.205435436568228	0.111811340287346	-0.188443414363611	0.0373325962952874	0.137595648544909	0.271441174895999	0.417021263902668	-0.177431719446944	0.0556154160658672	-0.309159795025533	0.230114824856458	-0.247926859167716	0.0725127315027126	0.0486835467335343	-0.0296323188467959	-0.384278541646634	0.173351871594935	0.054966965818904	0.0157514716172936	0.0170829959995901	-0.0147173797267468	-0.0451532483199924	-0.452774584659607	-0.0156892198082542	-2.77555756156289e-17
LM	-0.0750607635111845	0.131423410955175	-0.0657590449675459	-0.102072769353379	-0.0418964997043457	-0.204148358182684	0.02619282891623	-0.785429960190723	-0.292184419009813	-0.0947516054415229	-0.433880462813756	-0.0624320257125086	0.0537018850749951	-0.0350843011848285	-0.0231283663685036	0.0508677269948557	-0.0156679237891605	-0.0690766866834361	0.0488315612477196	0.00713945601406607	0.00216268126779901	-0.00232979476870626	0.00723113737582092	0.00898265095149686	6.93889390390723e-18
LBA	0.277294319706781	0.0389901224976052	0.00443244341890779	-0.0898857033841978	-0.171415896475839	-0.0171251064101442	0.156865685509882	-0.151880489288489	0.197116308851411	0.085350564286685	0.0270962228638727	0.369501696253004	-0.0652782049177012	0.367391288189286	0.474638831330467	-0.18676245305458	-0.485712225592809	-0.0877871280305058	-0.0831601336815652	0.0510138355682264	0.00877960549152003	0.00132496310521302	0.00334201972844512	0.0100630174964361	-3.46944695195361e-17
LBS	-0.162101996527359	-0.235628596357772	0.130667743244839	0.0424909285494964	-0.105579633406198	0.163609560803057	-0.155001058490852	-0.104416153339498	-0.307169813637587	-0.161096530844057	0.290427373731199	-0.117472691802387	-0.289771676456869	-0.523273354394493	0.236222653966178	-0.249759232898594	-0.350180643576183	-0.0864783060971978	0.0111058425670136	-0.030996741772674	-0.0210221604474893	-0.00898503521911144	0.0161362849018371	-0.00951191607346769	4.16333634234434e-17
LS	0.27249980611069	0.0429541311166919	-0.11113239368259	0.0483527301369551	-0.119301875327388	0.013570065739	0.0130615758554539	-0.25431258361184	0.0944280894178227	0.0903215539430267	0.294894410183396	0.256897054900746	-0.45899155298841	-0.19361803071471	0.165206364895826	0.347955919704478	0.504824792057434	-0.0675413392565402	-0.0510311876865847	0.0118483242427637	-0.0178549214322632	-0.0145669000545646	0.013311117891191	-0.0228925157188375	-5.55111512312578e-17
IL	-0.197604334690546	-0.22449890127583	0.0185278210443585	0.225092140730727	0.0274267957986969	0.134591796924474	0.244639836521802	-0.201241939059758	0.417451456484909	0.228685121972395	-0.145708047067289	0.154171961900807	-0.2642168083878	-0.114362513925608	-0.381580073561049	-0.102227385905045	-0.176082826088748	0.145084148657926	0.201885979167888	0.0285976282858833	-0.0129860865321149	0.00663198844163916	0.0235478106593224	-0.368002546297442	3.46944695195361e-17
IW	-0.36011331706741	-0.0696466158775983	-0.0533430108250645	0.247319193244589	0.123017024587825	0.0763331149838279	0.0735596896566102	-0.0407586962680363	0.267580059342549	0.070600723276857	-0.198847620258089	0.0819843129987033	-0.0697752954212024	-0.0627970149345419	0.215125293515165	-0.144607210492899	0.14906085747222	-0.0703636941869622	0.000665261781418612	-0.107960048566056	-0.00525773214268396	-0.0209517192823038	-0.0202999647200214	0.731348752134129	-4.1286418728248e-16
ILW	0.343342756215873	-0.0462337559193526	0.0721302576653544	-0.164859080944118	-0.15160724142492	-0.0200165985250384	0.0602554304720547	-0.0689194043947411	-0.0795246915805077	0.058021353410688	0.180146032968169	0.000817237723780456	-0.125159336490699	-0.0115516409310123	-0.5285717195787	0.133335938404712	-0.294444116550547	0.198735488047654	0.114110766467446	0.0157413941347368	0.0173331326802432	0.00575488736482277	-0.0377166593949876	0.565246704126454	-3.81639164714898e-17
CG	-0.0683094908512075	-0.137362960659838	-0.0848543458551179	-0.328948290534808	0.114630993149709	0.29848868100186	0.141539412905762	0.136817468401165	-0.524395015593502	0.369209380268605	-0.174381657430774	0.186493290232033	-0.286860944770776	0.219860409524438	-0.0405012512849956	-0.259156342036463	0.203842968922002	0.00998897512212941	0.0121339924525826	-0.0313646168156246	-0.0106639247488069	0.0351481138253791	0.00228558491435363	-0.00286317121476311	-3.46944695195361e-17
ML	0.0572551145397944	-0.435113550241312	0.160955640603137	0.110889828075337	-0.0567666531718896	0.0964463397296185	0.0901555602003612	-0.104664287492996	-0.0442373872923106	0.0164277012636626	-0.054913412254209	0.0660199080348042	0.213765297053623	-0.0346721724297127	-0.109299030421697	0.0228591587629813	0.084271256865472	-0.0112647649316451	-0.699342463919564	0.405621105804273	0.0424342543862197	-0.0694861717489462	-0.0108419972790849	0.0321999505919031	-2.94902990916057e-17
MW	-0.298029644530474	0.218704143961764	-0.0827918062103763	0.115179103927953	0.0304041111124777	-0.0458332879890205	-0.0703051072848792	-0.0718805418592508	-0.110082314496998	-0.235034834465388	0.18150320856738	0.270063785460948	-0.130573580244933	0.180635801916214	-0.128391777136316	-0.00138553575240941	-0.0762969169879946	0.459893912877489	-0.44705439787149	-0.411860695979156	-0.0260405462735999	0.0337635337198181	0.00191386282250981	-0.0453506118366071	-2.77555756156289e-17
MLW	0.299470037105614	-0.314627835752374	0.0945926337399118	-0.05485866813137	-0.0745752091327687	-0.00466133583948791	0.104381904631796	-0.0212325829398119	0.0799269255865857	0.0983650880265462	-0.128766473428374	-0.0853732934614398	0.170676340352855	-0.123834440109797	-0.019017762056883	-0.0210048763480537	0.0505454734179967	-0.199299500442382	-0.145221088501851	-0.790425534518292	-0.0235067072729267	0.0727549093022757	0.00609644871725119	-0.0567334391894757	-1.38777878078145e-16
MF	-0.0877814740843303	-0.291162035304742	-0.0562310956745099	0.28057828712785	0.133670413853327	0.113226935577462	0.0102724597662294	-0.0585905819388084	-0.240998977506026	-0.307460728229445	0.211373278064924	0.424468001088191	0.214271053248417	0.248098096518306	-0.148097163982159	0.20126753746624	-0.0247507024796685	-0.380943173335584	0.307336335873889	-0.0526291909170219	0.0196518454511145	0.0179468057404088	-0.0186804057080912	0.00479414422153808	-2.63677968348475e-16
IS	0.0804100575292701	-0.282991057846885	0.0244995852577612	-0.00595880128621696	-0.0646288373570023	0.0531171811222703	-0.275752645590462	0.0394546236820308	0.144680677299619	-0.429062883577147	-0.251630965735406	-0.319676335233676	-0.509733417285824	0.431542366563165	-0.0383096821065643	0.0254866727457543	0.0380735120999764	-0.0802871442943551	-0.0334290804495223	0.00155210636328391	-0.00525034534540501	-0.0196610320637807	0.00818834502259946	-0.00325623228393354	-1.11022302462516e-16
IV	0.116185818363308	-0.389766936003379	0.132320620082946	0.0238463119406106	-0.0306800344627307	0.0401061975899428	-0.0227462765360174	-0.0611111933831982	-0.0684507760371691	-0.0904489001195956	-0.0764496931015584	0.0482751529752807	0.19631735995723	0.0212975338467611	0.341771419917348	0.0910240797966287	0.147252562436312	0.702612967534791	0.330372759938437	0.00306194590889833	-0.00464276353671818	-0.00430921157426704	-0.00304568958633074	0.00463505999243184	1.73472347597681e-17
AL	-0.0908162140056431	-0.177482195501798	-0.0409708388563748	0.0960196650494838	0.0942755432313452	-0.567653384323011	0.454435551619119	0.134531868728757	-0.153922248315559	0.00555490202149865	0.0879460701106749	-0.150628781394604	-0.202797931606024	0.0397691824324074	0.0922822202947292	0.0691909656629796	-0.0343530654079713	0.0046157099982561	-0.00530756233535455	-0.00525507129642381	0.528900793549395	0.0387306525479376	-0.0279315877422899	-0.0139071601259894	1.41726907987305e-15
AW	-0.150198258295724	0.0100574381395968	-0.0684619670531758	0.199327016282448	-0.558286115251831	-0.0869705512310957	0.418646104435072	0.178601418777592	-0.17240962542444	-0.0379027967122381	-0.0596815687525836	-0.125666568209926	-0.0279484133669127	0.0640336429945743	0.0355024850268913	0.13211989567868	0.00854647438725534	-0.0193288641322331	0.0252847712255012	0.0189597691681387	-0.57469593746626	-0.00272539352267799	0.0255242447087406	0.00421585217784134	-1.02695629777827e-15
ALW	0.0742392882382401	-0.177276771170886	0.0459322949063963	-0.125053687565902	0.600551761102618	-0.40313753204732	0.0273139984856488	-0.0492237082576094	0.0319647161137716	0.0170115976089226	0.13138871199053	-0.0016331408961931	-0.09100343744114	-0.00206126194061741	0.0217318617936702	-0.0464869886821809	-0.047293378269823	-0.00236273524073956	-0.0436592697247057	0.0521274361785109	-0.617645838671544	-0.00210827318377239	0.0308702634375717	0.0125109652428435	-1.31145094783847e-15
AP	-0.173357962154188	-0.0391646720987289	0.186656353553529	0.194208855797571	-0.0243993699427234	0.0723873361213645	-0.138074789107881	-0.306996692992279	-0.0337250462245755	0.475365364641415	0.420831124843486	-0.423640880622357	0.0688443816801186	0.419775632293591	0.0522737734490747	0.0489509838386003	0.0246532366158078	-0.0175348832992361	0.0222569913501356	-0.0695109235429213	-0.00747492012284026	-0.0204957737230188	0.0151749138300716	0.000238158990243637	5.55111512312578e-17
