character	Can1	Can2	Can3
SN	-0.145905290688719	-0.143820070577993	0.187446717219016
SF	0.226719446907337	0.288948818638693	-0.0883099732331195
ST	-0.0277651201559605	0.00488357931935505	0.135653239486031
SFT	0.233159338112673	0.331672879198555	-0.213795110984925
LL	-0.0678435614391475	0.0574683471072475	-0.252875808984242
LW	0.00740496231373526	0.296609347028432	-0.35458434178511
LLW	-0.0516973291237898	-0.350145428734449	0.279507573341278
LM	0.297463453781732	-0.0450093621141999	-0.0470783647836817
LBA	-0.318778093889912	-0.539202777037919	-0.294264249304474
LBS	-0.163214378723659	0.46997358997191	0.277373926815502
LS	-0.251889022711859	-0.640679115700623	0.197855575199431
IL	-0.0584845404966104	0.488340257483771	0.343069291713534
IW	0.389239320750172	0.685339934638908	0.239991480280388
ILW	-0.525181686609887	-0.611784804976577	-0.00254129876149367
CG	-0.15779896112058	0.163326602335553	0.0157182236240464
ML	-0.831038839132357	0.379514738318259	0.0797853318855213
MW	0.735479254496969	0.267972742723124	-0.0121358216463791
MLW	-0.86777742473859	-0.282448837731886	0.00907052616769841
MF	-0.347280595983626	0.504543863220408	0.175527742010597
IS	-0.508744544680492	0.113697036282445	0.0124597455495171
IV	-0.735244320757228	0.270554317705526	-0.22969976454435
AL	-0.0140537605000292	0.326312832458825	-0.00842011436124558
AW	0.124084168089332	0.210514371091625	0.067441010722866
ALW	-0.183216081248682	0.102614196095935	-0.134701510042649
AP	0.117451380566029	0.528786582180038	-0.00602090764955176
